Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
1,09/26/2017 07:34:14 PM,PDT,CREATE,,,,,,,,,,,,,,,
2,09/26/2017 07:34:14 PM,PDT,CLIENT_CONFIGURE,,,,,,,,,,,,,,,
3,09/26/2017 07:38:35 PM,PDT,TRANSFER_FUNDS,,,,,,,,,,,,,,55.96,55.96
4,09/27/2017 07:21:26 PM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,100,Sell,,,1.24791,,,,,,,
5,09/27/2017 07:21:26 PM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.24881,100,Sell,,,,,0.00000,0.0000,,0.00000,,55.96
6,09/27/2017 07:21:26 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.24791,,,,,,,,,,,,
7,09/28/2017 01:13:11 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,USD/CAD,1.24791,100,Buy,,,,,-0.00060,0.0000,,0.07210,,56.03
8,10/04/2017 08:41:22 PM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,1,Buy,,0.69601,0.69951,,,,,,,
9,10/04/2017 08:41:22 PM,PDT,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.69801,1,Buy,,,,,0.00000,0.0000,,0.00000,,56.03
10,10/04/2017 08:41:22 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.69951,,,,,,,,,,,,
11,10/04/2017 08:41:22 PM,PDT,STOP_LOSS_ORDER,ON_FILL,,0.69601,,,,,,,,,,,,
12,10/04/2017 09:59:51 PM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,1,Buy,,1.24496,1.25046,,,,,,,
13,10/04/2017 09:59:51 PM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.24795,1,Buy,,,,,0.00000,0.0000,,0.00000,,56.03
14,10/04/2017 09:59:51 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.25046,,,,,,,,,,,,
15,10/04/2017 09:59:51 PM,PDT,STOP_LOSS_ORDER,ON_FILL,,1.24496,,,,,,,,,,,,
16,10/05/2017 05:34:28 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,USD/CAD,1.25047,1,Sell,,,,,0.00000,0.0000,,0.00200,,56.03
17,10/05/2017 05:34:28 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
18,10/05/2017 12:32:38 PM,PDT,ORDER_FILL,STOP_LOSS_ORDER,NZD/CHF,0.69598,1,Sell,,,,,0.00000,0.0000,,-0.00210,,56.03
19,10/05/2017 12:32:38 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
20,10/11/2017 08:31:06 PM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,100,Buy,,,149.02300,,,,,,,
21,10/11/2017 08:31:06 PM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,148.93300,100,Buy,,,,,0.00000,0.0000,,0.00000,,56.03
