Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
152,02/04/2018 04:56:22 PM,PST,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,1,Buy,,,,,,,,,
153,02/04/2018 04:56:22 PM,PST,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.67938,1,Buy,0.0002,,,,0.00000,0.0000,0.00000,,74.84
154,02/05/2018 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,0.00000,,,,74.84
,02/05/2018 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 153,NZD/CHF,,,,,,,,0.00000,,,,
155,02/05/2018 09:01:04 PM,PST,TRANSFER_FUNDS,,,,,,,,,,,,,-74.80,0.04
156,02/06/2018 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,0.00000,,,,0.04
,02/06/2018 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 153,NZD/CHF,,,,,,,,0.00000,,,,
157,02/06/2018 04:30:47 PM,PST,TRANSFER_FUNDS,,,,,,,,,,,,,2000.00,2000.04
158,02/06/2018 08:26:09 PM,PST,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,5000,Buy,,,,,,,,,
159,02/06/2018 08:26:09 PM,PST,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.68346,5000,Buy,0.7755,,,,0.00000,0.0000,0.00000,,2000.04
160,02/06/2018 08:26:09 PM,PST,TAKE_PROFIT_ORDER,ON_FILL,,0.68496,,,,,,,,,,,
161,02/06/2018 08:29:25 PM,PST,MARKET_ORDER,TRADE_CLOSE,NZD/CHF,,1,Sell,,,,,,,,,
162,02/06/2018 08:29:25 PM,PST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CHF,0.68302,1,Sell,0.0002,,,,0.00000,0.0000,0.00390,,2000.04
163,02/07/2018 12:24:31 AM,PST,ORDER_FILL,TAKE_PROFIT_ORDER,NZD/CHF,0.68497,5000,Sell,0.8012,,,,0.01850,0.0000,8.06490,,2008.12
164,02/07/2018 11:00:53 AM,PST,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,NZD/CHF,0.68406,1,Buy,,,,,,,,,
165,02/07/2018 11:37:35 AM,PST,ORDER_FILL,MARKET_IF_TOUCHED_ORDER,NZD/CHF,0.68404,1,Buy,0.0001,,,,0.00000,0.0000,0.00000,,2008.12
166,02/07/2018 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,0.00000,,,,2008.12
,02/07/2018 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 165,NZD/CHF,,,,,,,,0.00000,,,,
167,02/07/2018 02:55:23 PM,PST,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,10000,Buy,,,,,,,,,
168,02/07/2018 02:55:23 PM,PST,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.68211,10000,Buy,4.8223,,,,0.00000,0.0000,0.00000,,2008.12
169,02/07/2018 02:55:23 PM,PST,TAKE_PROFIT_ORDER,ON_FILL,,0.68661,,,,,,,,,,,
170,02/07/2018 02:55:39 PM,PST,MARKET_ORDER,TRADE_CLOSE,NZD/CHF,,1,Sell,,,,,,,,,
171,02/07/2018 02:55:39 PM,PST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CHF,0.68112,1,Sell,0.0004,,,,0.00000,0.0000,-0.00310,,2008.12
172,02/07/2018 05:22:21 PM,PST,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,9999,Buy,,,,,,,,,
173,02/07/2018 05:22:21 PM,PST,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.67955,9999,Buy,1.5375,,,,0.00000,0.0000,0.00000,,2008.12
174,02/07/2018 05:22:21 PM,PST,TAKE_PROFIT_ORDER,ON_FILL,,0.68105,,,,,,,,,,,
175,02/07/2018 05:23:02 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
176,02/07/2018 05:23:02 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,0.68176,,,,,,,,,,,
177,02/07/2018 07:54:07 PM,PST,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,
178,02/07/2018 07:54:07 PM,PST,TAKE_PROFIT_ORDER,REPLACEMENT,,0.68515,,,,,,,,,,,
