Ticket;Date;Timezone;Transaction;Details;Instrument;Price;Units;Direction;Spread;Cost;Stop;Loss;Take;Profit;Trailing;Stop;Financing;Commission;P/L;Amount;Balance
7214;01/02/2019;03:39:56;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7215;01/02/2019;05:12:24;PM;MST;MARKET_ORDER;CLIENT_ORDER;USD/CHF;;1;Buy;;;;;;;;;;;
7216;01/02/2019;05:12:24;PM;MST;ORDER_FILL;MARKET_ORDER;USD/CHF;0.98903;1;Buy;0.0002;;;;0;0;0;;925.91;;
7217;01/02/2019;05:12:54;PM;MST;MARKET_ORDER;TRADE_CLOSE;USD/CHF;;1;Sell;;;;;;;;;;;
7218;01/02/2019;05:12:54;PM;MST;ORDER_FILL;MARKET_ORDER_TRADE_CLOSE;USD/CHF;0.98885;1;Sell;0.0001;;;;0;0;-0.0002;;925.91;;
7219;01/07/2019;10:42:21;PM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/USD;;1;Buy;;;;;;;;;;;
7220;01/07/2019;10:42:21;PM;MST;ORDER_FILL;MARKET_ORDER;EUR/USD;1.14437;1;Buy;0.0001;;;;0;0;0;;925.91;;
7221;01/07/2019;10:42:21;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.14687;;;;;;;;;;;;;
7222;01/07/2019;10:42:21;PM;MST;STOP_LOSS_ORDER;ON_FILL;;1.14237;;;;;;;;;;;;;
7223;01/07/2019;10:43:33;PM;MST;MARKET_ORDER;CLIENT_ORDER;USD/CAD;;1;Buy;;;;;;;;;;;
7224;01/07/2019;10:43:33;PM;MST;ORDER_FILL;MARKET_ORDER;USD/CAD;1.3281;1;Buy;0.0001;;;;0;0;0;;925.91;;
7225;01/07/2019;10:43:33;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.3306;;;;;;;;;;;;;
7226;01/07/2019;10:43:33;PM;MST;STOP_LOSS_ORDER;ON_FILL;;1.3261;;;;;;;;;;;;;
7227;01/08/2019;04:54:53;AM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;EUR/USD;1.14687;1;Sell;0.0001;;;;0;0;0.0025;;925.91;;
7228;01/08/2019;04:54:53;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7229;01/08/2019;06:07:31;AM;MST;MARKET_IF_TOUCHED_ORDER;CLIENT_ORDER;EUR/USD;1.143;1;Buy;;;;;;;;;;;
7230;01/08/2019;06:51:12;AM;MST;ORDER_FILL;MARKET_IF_TOUCHED_ORDER;EUR/USD;1.14299;1;Buy;0.0001;;;;0;0;0;;925.91;;
7231;01/08/2019;06:51:12;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.1455;;;;;;;;;;;;;
7232;01/08/2019;06:51:12;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.141;;;;;;;;;;;;;
7233;01/08/2019;06:52:22;AM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;USD/CAD;1.33061;1;Sell;0.0001;;;;0;0;0.0019;;925.91;;
7234;01/08/2019;06:52:22;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7235;01/08/2019;08:20:07;AM;MST;MARKET_ORDER;CLIENT_ORDER;GBP/USD;;1;Buy;;;;;;;;;;;
7236;01/08/2019;08:20:07;AM;MST;ORDER_FILL;MARKET_ORDER;GBP/USD;1.27212;1;Buy;0.0001;;;;0;0;0;;925.91;;
