Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
1,10/17/2019 07:48:49 PM,PDT,CREATE,,,,,,,,,,,,,,,
2,10/17/2019 07:48:49 PM,PDT,CLIENT_CONFIGURE,,,,,,,,,,,,,,,
3,10/17/2019 07:52:15 PM,PDT,TRANSFER_FUNDS,,,,,,,,,,,,,,200.00,200.00
4,10/18/2019 08:47:03 AM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/USD,,200,Sell,,,0.63526,,,,,,,
5,10/18/2019 08:47:03 AM,PDT,ORDER_FILL,MARKET_ORDER,NZD/USD,0.63776,200,Sell,0.0140,,,,0.00000,0.0000,,0.00000,,200.00
6,10/18/2019 08:47:03 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.63526,,,,,,,,,,,,
7,10/18/2019 08:48:43 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,300,Buy,,,1.31578,,,,,,,
8,10/18/2019 08:48:43 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.31328,300,Buy,0.0171,,,,0.00000,0.0000,,0.00000,,200.00
9,10/18/2019 08:48:43 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.31578,,,,,,,,,,,,
10,10/18/2019 08:51:00 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CHF,,250,Buy,,,0.98767,,,,,,,
11,10/18/2019 08:51:00 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CHF,0.98517,250,Buy,0.0178,,,,0.00000,0.0000,,0.00000,,200.00
12,10/18/2019 08:51:00 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.98767,,,,,,,,,,,,
13,10/18/2019 08:52:43 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
14,10/18/2019 08:52:43 AM,PDT,TAKE_PROFIT_ORDER,REPLACEMENT,,0.98869,,,,,,,,,,,,
15,10/18/2019 09:00:45 AM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,AUD/USD,0.68550,200,Sell,,,0.68200,,,,,,,
16,10/18/2019 12:22:04 PM,PDT,ORDER_FILL,MARKET_IF_TOUCHED_ORDER,AUD/USD,0.68551,200,Sell,0.0120,,,,0.00000,0.0000,,0.00000,,200.00
17,10/18/2019 12:22:04 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.68200,,,,,,,,,,,,
18,10/18/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,0.00090,,,,,200.00
,10/18/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00070,,,,,
,10/18/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11,USD/CHF,,,,,,,,0.00210,,,,,
,10/18/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 16,AUD/USD,,,,,,,,0.00010,,,,,
,10/18/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 5,NZD/USD,,,,,,,,-0.00060,,,,,
19,10/19/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,0.00700,,,,,200.00
,10/19/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00370,,,,,
,10/19/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11,USD/CHF,,,,,,,,0.01220,,,,,
,10/19/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 16,AUD/USD,,,,,,,,0.00190,,,,,
,10/19/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 5,NZD/USD,,,,,,,,-0.00340,,,,,
20,10/20/2019 10:13:40 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
21,10/20/2019 10:13:40 AM,PDT,TAKE_PROFIT_ORDER,REPLACEMENT,,1.31728,,,,,,,,,,,,
22,10/20/2019 10:13:59 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
23,10/20/2019 10:13:59 AM,PDT,TAKE_PROFIT_ORDER,REPLACEMENT,,0.98967,,,,,,,,,,,,
24,10/20/2019 10:14:26 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
25,10/20/2019 10:14:26 AM,PDT,TAKE_PROFIT_ORDER,REPLACEMENT,,0.63386,,,,,,,,,,,,
26,10/20/2019 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,0.00700,,,,,200.01
,10/20/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,USD/CAD,,,,,,,,-0.00370,,,,,
,10/20/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11,USD/CHF,,,,,,,,0.01220,,,,,
,10/20/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 16,AUD/USD,,,,,,,,0.00190,,,,,
,10/20/2019 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 5,NZD/USD,,,,,,,,-0.00340,,,,,
27,10/20/2019 09:20:07 PM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,NZD/CAD,0.84150,300,Sell,,0.84450,0.83700,,,,,,,
28,10/21/2019 01:14:11 AM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,200,Sell,,,74.25400,,,,,,,
29,10/21/2019 01:14:11 AM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,74.65400,200,Sell,0.0120,,,,0.00000,0.0000,,0.00000,,200.01
30,10/21/2019 01:14:11 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,74.25400,,,,,,,,,,,,
31,10/21/2019 01:14:42 AM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/JPY,,200,Sell,,,69.11200,,,,,,,
