Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
7188,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,-2.17800,,,,4162.42
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5588,EUR/USD,,,,,,,,-0.94330,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5602,EUR/USD,,,,,,,,-0.64790,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5615,EUR/USD,,,,,,,,-0.59990,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 6463,GBP/JPY,,,,,,,,0.00970,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7115,GBP/JPY,,,,,,,,0.00690,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7130,GBP/JPY,,,,,,,,0.01720,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1466,AUD/USD,,,,,,,,-0.13180,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7109,AUD/USD,,,,,,,,-0.17200,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7121,AUD/USD,,,,,,,,-0.17210,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7014,AUD/JPY,,,,,,,,0.11330,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7023,AUD/JPY,,,,,,,,0.09610,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7092,AUD/JPY,,,,,,,,0.06110,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7138,AUD/JPY,,,,,,,,0.05420,,,,
,01/01/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5834,CAD/JPY,,,,,,,,0.13050,,,,
7189,01/02/2019 08:23:20 AM,PST,TRANSFER_FUNDS,,,,,,,,,,,,,1000.00,5162.42
7190,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,-2.17700,,,,5160.25
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5588,EUR/USD,,,,,,,,-0.94080,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5602,EUR/USD,,,,,,,,-0.64620,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 5615,EUR/USD,,,,,,,,-0.59830,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 6463,GBP/JPY,,,,,,,,0.00940,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7115,GBP/JPY,,,,,,,,0.00660,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7130,GBP/JPY,,,,,,,,0.01660,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1466,AUD/USD,,,,,,,,-0.13220,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7109,AUD/USD,,,,,,,,-0.17260,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7121,AUD/USD,,,,,,,,-0.17280,,,,
,01/02/2019 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 7014,AUD/JPY,,,,,,,,0.11240,,,,
