Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,PL,Amount,Balance
1,04/09/2018 04:04:25 PM,PDT,CREATE,,,,,,,,,,,,,,,
2,04/09/2018 04:04:25 PM,PDT,CLIENT_CONFIGURE,,,,,,,,,,,,,,,
3,04/09/2018 04:32:18 PM,PDT,TRANSFER_FUNDS,,,,,,,,,,,,,,500.00,500.00
4,04/09/2018 08:53:07 PM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,100,Buy,,,83.04900,,,,,,,
5,04/09/2018 08:53:07 PM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,82.81000,100,Buy,0.0084,,,,0.00000,0.0000,,0.00000,,500.00
6,04/09/2018 08:53:07 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,83.04900,,,,,,,,,,,,
7,04/10/2018 05:36:56 AM,PDT,MARKET_ORDER,CLIENT_ORDER,CAD/JPY,,100,Sell,,,84.32600,,,,,,,
8,04/10/2018 05:36:56 AM,PDT,ORDER_FILL,MARKET_ORDER,CAD/JPY,84.56600,100,Sell,0.0089,,,,0.00000,0.0000,,0.00000,,500.00
9,04/10/2018 05:36:56 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,84.32600,,,,,,,,,,,,
10,04/10/2018 05:39:18 AM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,EUR/USD,1.23800,300,Sell,,,1.23550,,,,,,,
11,04/10/2018 07:25:51 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,AUD/JPY,83.04900,100,Sell,0.0079,,,,0.00070,0.0000,0.0093,0.22320,,500.22
12,04/10/2018 08:06:49 AM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,CAD/JPY,85.00000,300,Sell,,,84.75000,,,,,,,
13,04/10/2018 08:07:47 AM,PDT,MARKET_ORDER,CLIENT_ORDER,CAD/JPY,,200,Sell,,,84.65500,,,,,,,
14,04/10/2018 08:07:47 AM,PDT,ORDER_FILL,MARKET_ORDER,CAD/JPY,84.90600,200,Sell,0.0149,,,,0.00000,0.0000,,0.00000,,500.22
15,04/10/2018 08:07:47 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,84.65500,,,,,,,,,,,,
16,04/10/2018 08:19:45 AM,PDT,ORDER_FILL,MARKET_IF_TOUCHED_ORDER,CAD/JPY,85.00000,300,Sell,0.0294,,,,0.00000,0.0000,,0.00000,,500.22
17,04/10/2018 08:19:45 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,84.75000,,,,,,,,,,,,
18,04/10/2018 09:24:51 AM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,100,Sell,,,83.01000,,,,,,,
19,04/10/2018 09:24:51 AM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,83.20900,100,Sell,0.0098,,,,0.00000,0.0000,,0.00000,,500.22
20,04/10/2018 09:24:51 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,83.01000,,,,,,,,,,,,
21,04/10/2018 09:30:36 AM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,100,Sell,,,0.70197,,,,,,,
22,04/10/2018 09:30:36 AM,PDT,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.70447,100,Sell,0.0157,,,,0.00000,0.0000,,0.00000,,500.22
23,04/10/2018 09:30:36 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.70197,,,,,,,,,,,,
24,04/10/2018 09:42:30 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,50,Buy,,,1.26359,,,,,,,
25,04/10/2018 09:42:30 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.26109,50,Buy,0.0032,,,,0.00000,0.0000,,0.00000,,500.22
26,04/10/2018 09:42:30 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.26359,,,,,,,,,,,,
27,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.00760,,,,,500.21
,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 25,USD/CAD,,,,,,,,0.00000,,,,,
,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 19,AUD/JPY,,,,,,,,-0.00070,,,,,
,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,CAD/JPY,,,,,,,,-0.00130,,,,,
,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 14,CAD/JPY,,,,,,,,-0.00170,,,,,
,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 16,CAD/JPY,,,,,,,,-0.00250,,,,,
,04/10/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 22,NZD/CHF,,,,,,,,-0.00140,,,,,
28,04/10/2018 06:49:30 PM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/USD,,50,Buy,,,0.77880,,,,,,,
29,04/10/2018 06:49:30 PM,PDT,ORDER_FILL,MARKET_ORDER,AUD/USD,0.77630,50,Buy,0.0032,,,,0.00000,0.0000,,0.00000,,500.21
30,04/10/2018 06:49:30 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.77880,,,,,,,,,,,,
31,04/10/2018 06:50:57 PM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
32,04/10/2018 06:51:29 PM,PDT,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,50,Buy,,,1.23789,,,,,,,
33,04/10/2018 06:51:29 PM,PDT,ORDER_FILL,MARKET_ORDER,EUR/USD,1.23587,50,Buy,0.0035,,,,0.00000,0.0000,,0.00000,,500.21
34,04/10/2018 06:51:29 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.23789,,,,,,,,,,,,
35,04/10/2018 07:00:30 PM,PDT,MARKET_ORDER,TRADE_CLOSE,AUD/JPY,,100,Buy,,,,,,,,,,
36,04/10/2018 07:00:30 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,AUD/JPY,83.05100,100,Buy,0.0093,,,,-0.00120,0.0000,0.0093,0.14750,,500.36
37,04/10/2018 07:00:30 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
38,04/10/2018 07:03:09 PM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,50,Sell,,,82.85200,,,,,,,
39,04/10/2018 07:03:09 PM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,83.05200,50,Sell,0.0044,,,,0.00000,0.0000,,0.00000,,500.36
40,04/10/2018 07:03:09 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,82.85200,,,,,,,,,,,,
41,04/10/2018 07:07:02 PM,PDT,ORDER_CANCEL,CLIENT_REQUEST_REPLACED,,,,,,,,,,,,,,
42,04/10/2018 07:07:02 PM,PDT,TAKE_PROFIT_ORDER,REPLACEMENT,,84.83700,,,,,,,,,,,,
43,04/10/2018 08:11:15 PM,PDT,MARKET_ORDER,TRADE_CLOSE,NZD/CHF,,100,Buy,,,,,,,,,,
44,04/10/2018 08:11:15 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CHF,0.70338,100,Buy,0.0146,,,,-0.00290,0.0000,1.0449,0.11390,,500.47
45,04/10/2018 08:11:15 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
46,04/10/2018 08:11:56 PM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,100,Sell,,,0.70109,,,,,,,
47,04/10/2018 08:11:56 PM,PDT,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.70309,100,Sell,0.0157,,,,0.00000,0.0000,,0.00000,,500.47
48,04/10/2018 08:11:56 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.70109,,,,,,,,,,,,
49,04/10/2018 09:26:15 PM,PDT,MARKET_ORDER,TRADE_CLOSE,CAD/JPY,,300,Buy,,,,,,,,,,
50,04/10/2018 09:26:15 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,CAD/JPY,84.95200,300,Buy,0.0294,,,,-0.00450,0.0000,0.0093,0.13450,,500.60
51,04/10/2018 09:26:15 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
52,04/10/2018 09:26:32 PM,PDT,MARKET_ORDER,TRADE_CLOSE,AUD/JPY,,50,Buy,,,,,,,,,,
53,04/10/2018 09:26:32 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,AUD/JPY,82.97300,50,Buy,0.0044,,,,-0.00020,0.0000,0.0093,0.03690,,500.64
54,04/10/2018 09:26:32 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
55,04/10/2018 09:27:56 PM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,100,Sell,,,82.75200,,,,,,,
56,04/10/2018 09:27:56 PM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,82.95200,100,Sell,0.0089,,,,0.00000,0.0000,,0.00000,,500.64
57,04/10/2018 09:27:56 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,82.75200,,,,,,,,,,,,
58,04/10/2018 11:52:07 PM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,EUR/USD,1.23789,50,Sell,0.0035,,,,-0.00090,0.0000,1.0000,0.10100,,500.74
59,04/11/2018 04:03:57 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,AUD/JPY,82.75200,100,Buy,0.0070,,,,-0.00130,0.0000,0.0093,0.18720,,500.92
60,04/11/2018 04:03:57 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,CAD/JPY,84.65400,200,Buy,0.0187,,,,-0.00540,0.0000,0.0093,0.47190,,501.39
61,04/11/2018 04:47:13 AM,PDT,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,100,Sell,,,1.23558,,,,,,,
62,04/11/2018 04:47:13 AM,PDT,ORDER_FILL,MARKET_ORDER,EUR/USD,1.23804,100,Sell,0.0060,,,,0.00000,0.0000,,0.00000,,501.39
63,04/11/2018 04:47:13 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.23558,,,,,,,,,,,,
64,04/11/2018 09:29:02 AM,PDT,MARKET_ORDER,CLIENT_ORDER,CAD/JPY,,200,Sell,,,84.80500,,,,,,,
65,04/11/2018 09:29:02 AM,PDT,ORDER_FILL,MARKET_ORDER,CAD/JPY,85.06100,200,Sell,0.0168,,,,0.00000,0.0000,,0.00000,,501.39
66,04/11/2018 09:29:02 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,84.80500,,,,,,,,,,,,
67,04/11/2018 09:30:22 AM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,50,Buy,,,152.00200,,,,,,,
68,04/11/2018 09:30:22 AM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,151.80100,50,Buy,0.0054,,,,0.00000,0.0000,,0.00000,,501.39
69,04/11/2018 09:30:22 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,152.00200,,,,,,,,,,,,
70,04/11/2018 11:06:06 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,EUR/USD,1.23558,100,Buy,0.0075,,,,0.00090,0.0000,1.0000,0.24600,,501.63
71,04/11/2018 12:34:00 PM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,EUR/USD,1.23800,300,Sell,,,1.23550,,,,,,,
72,04/11/2018 12:34:54 PM,PDT,MARKET_ORDER,TRADE_CLOSE,CAD/JPY,,200,Buy,,,,,,,,,,
73,04/11/2018 12:34:54 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,CAD/JPY,84.97300,200,Buy,0.0187,,,,-0.00110,0.0000,0.0093,0.16470,,501.80
74,04/11/2018 12:34:54 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
75,04/11/2018 12:52:36 PM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,100,Sell,,,151.16100,,,,,,,
76,04/11/2018 12:52:36 PM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,151.40600,100,Sell,0.0136,,,,-0.00010,0.0000,0.0093,-0.18490,,501.61
77,04/11/2018 12:52:36 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
78,04/11/2018 12:52:36 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,151.16100,,,,,,,,,,,,
79,04/11/2018 12:57:54 PM,PDT,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,100,Buy,,,1.23825,,,,,,,
80,04/11/2018 12:57:54 PM,PDT,ORDER_FILL,MARKET_ORDER,EUR/USD,1.23623,100,Buy,0.0060,,,,0.00000,0.0000,,0.00000,,501.61
81,04/11/2018 12:57:54 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.23825,,,,,,,,,,,,
82,04/11/2018 12:58:42 PM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
83,04/11/2018 12:59:43 PM,PDT,MARKET_ORDER,TRADE_CLOSE,GBP/JPY,,50,Buy,,,,,,,,,,
84,04/11/2018 12:59:43 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,GBP/JPY,151.47200,50,Buy,0.0061,,,,0.00000,0.0000,0.0093,-0.03090,,501.58
85,04/11/2018 12:59:43 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
86,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.01210,,,,,501.57
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 80,EUR/USD,,,,,,,,0.00000,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 25,USD/CAD,,,,,,,,-0.00050,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 29,AUD/USD,,,,,,,,-0.00070,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,CAD/JPY,,,,,,,,-0.00420,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 47,NZD/CHF,,,,,,,,-0.00670,,,,,
