Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
12147,06/08/2020 10:00:26 AM,PDT,MARKET_IF_TOUCHED_ORDER,CLIENT_ORDER,NZD/CAD,0.87750,850,Sell,,,0.87300,,,,,,,
12148,06/08/2020 10:01:17 AM,PDT,ORDER_CANCEL,CLIENT_REQUEST,,,,,,,,,,,,,,
12149,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.13050,,,,,522.16
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12038,EUR/JPY,,,,,,,,-0.01060,,,,,
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12110,USD/CAD,,,,,,,,-0.02500,,,,,
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12113,USD/CAD,,,,,,,,-0.02190,,,,,
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12118,USD/CAD,,,,,,,,-0.02670,,,,,
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12124,USD/CAD,,,,,,,,-0.02340,,,,,
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11948,AUD/JPY,,,,,,,,-0.01210,,,,,
,06/08/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11955,AUD/JPY,,,,,,,,-0.01080,,,,,
12150,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.12260,,,,,522.03
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12038,EUR/JPY,,,,,,,,-0.01060,,,,,
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12110,USD/CAD,,,,,,,,-0.02300,,,,,
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12113,USD/CAD,,,,,,,,-0.02010,,,,,
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12118,USD/CAD,,,,,,,,-0.02460,,,,,
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12124,USD/CAD,,,,,,,,-0.02160,,,,,
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11948,AUD/JPY,,,,,,,,-0.01200,,,,,
,06/09/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11955,AUD/JPY,,,,,,,,-0.01070,,,,,
12151,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.19300,,,,,521.84
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12038,EUR/JPY,,,,,,,,-0.03250,,,,,
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12110,USD/CAD,,,,,,,,-0.02370,,,,,
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12113,USD/CAD,,,,,,,,-0.02070,,,,,
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12118,USD/CAD,,,,,,,,-0.02530,,,,,
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12124,USD/CAD,,,,,,,,-0.02220,,,,,
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11948,AUD/JPY,,,,,,,,-0.03630,,,,,
,06/10/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11955,AUD/JPY,,,,,,,,-0.03230,,,,,
12152,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.30180,,,,,521.54
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12038,EUR/JPY,,,,,,,,-0.01050,,,,,
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12110,USD/CAD,,,,,,,,-0.06930,,,,,
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12113,USD/CAD,,,,,,,,-0.06060,,,,,
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12118,USD/CAD,,,,,,,,-0.07400,,,,,
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 12124,USD/CAD,,,,,,,,-0.06490,,,,,
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11948,AUD/JPY,,,,,,,,-0.01190,,,,,
,06/11/2020 02:00:00 PM,PDT,DAILY_FINANCING,TradeID: 11955,AUD/JPY,,,,,,,,-0.01060,,,,,
12153,06/12/2020 02:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.12660,,,,,521.41
